What type of object does variable <code>__name__</code> refer to?,<code>str</code>,<code>int</code>,<code>module</code>,<code>file</code>,,,,,,,,,,,
Select the code fragment(s) that do <em>not</em> print 'na' 12 times.,"<pre>
for i in range(12):
    print('na')
</pre>","<pre>
for i in range(1, 24, 2):
    print('na')
</pre>","<pre>
for i in range(1, 12):
    print('na')
</pre>","<pre>
 for i in range(6, 12):
    print('na')
    print('na')
</pre>",,,,,,,,,,,
What does the expression <code>int(72.5)</code> produce?,<code>72</code>,<code>'72'</code>,<code>72.0</code>,<code>73</code>,,,,,,,,,,,
Select the expression(s) that produce <code>4</code>.,"<code>len([1, 2, 3, 4])</code>","<code>min([10, 8, 4])</code>",<code>sum([4])</code>,"<code>len([""math""])</code>",,,,,,,,,,,
Which of the following will result in an error?,"<pre>d = {}
d[5] = 'Fozzie Bear'
d[1] = 'Kermit the Frog'
d['Muppets'] = 3
d[3] = 'Miss Piggy'</pre>","<pre>d = {2: 'Gonzo', 4: 'Scooter', 6: 'Beaker'}
d.clear()
d = {'Muppets': 3,  1: 'Kermit the Frog', 3: 'Miss Piggy', 5: 'Fozzie Bear'}</pre>","<pre>d = {5: 'Fozzie Bear', 3: 'Miss Piggy', 1: 'Kermit the Frog', 'Muppets': 3}</pre>","<pre>d = {}
d.append(3: 'Miss Piggy')
d.append(5: 'Fozzie Bear')
d.append(1: 'Kermit the Frog')
</pre>",,,,,,,,,,,
"What is the greatest number of arguments function <code>round</code> takes?
",0,1,2,3,,,,,,,,,,,
I have verified my UofT email address.,yes,no,,,,,,,,,,,,,
"Consider this code:
<pre>
>>> a = 4
>>> b = 3.2
>>> a = 8
</pre>
Assume that value <code>4</code> has memory address <code>x27</code>, value <code>3.2</code> has memory address <code>x5</code>, and value <code>8</code> has memory address <code>x1</code>. Which of the following is true after this code is executed?",<code>a</code> stores <code>x27</code> and <code>b</code> contains <code>x5</code>.,<code>a</code> refers to the same value as <code>b</code>.,<code>a</code> refers to value <code>4</code> and <code>b</code> refers to value <code>3.2</code>.,<code>a</code> contains memory address <code>x1</code> and <code>b</code> contains memory adddress <code>x5</code>.,,,,,,,,,,,
"Consider this code:
<pre>
>>> math_grade = 50
>>> history_grade = 85
</pre>
After the code above is executed, which expression(s) produce <code>True</code>?",<code>(math_grade > 50) or (history_grade > 50)</code>,<code>(math_grade >= 50) and (history_grade >= 50)</code>,<code>(math_grade > 50) and (history_grade > 50)</code>,<code>history_grade == math_grade</code>,,,,,,,,,,,
"In terms of <code>i</code>, in the <em>best case</em>, does function <code>insert</code> have constant running time, linear running
time, quadratic running time, or some other running time?
",quadratic,something else,constant,linear,,,,,,,,,,,
I have read about CDF on the course website.,yes,no,,,,,,,,,,,,,
"Consider this code:
<pre>
def apply(func, L):
    """""" (function, list) -> object
    Apply func to L and return the result.
    """"""
    return func(L)
</pre>
<p>If <code>lst</code> refers to <code>[1, 2, 3, 4, 5]</code>, which of the following calls will produce <code>5</code>?</p>
