Week,Topic,Subtopic,,ContentType,Content,concepts
1,The program and the source code,Commands,1,code_sample,"System.out.println(""Hello world!"");","PublicClassSpecifier:1,StringDataType:1,StringLiteral:1,PublicMethodSpecifier:1,java.lang.System.out.println:1,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,ActualMethodParameter:1,"
1,The program and the source code,Components of commands,1,code_sample,"System.out.print(""Hello ""); System.out.print(""world"");\nSystem.out.print(""!"");","PublicClassSpecifier:1,StringDataType:3,StringLiteral:3,PublicMethodSpecifier:1,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,ActualMethodParameter:3,java.lang.System.out.print:3,"
1,The program and the source code,Components of commands,1,code_sample,"// We will print the text ""Hello world""\nSystem.out.print(""Hello world"");\n\nSystem.out.print("" and all the people of the world.""); // We print more text to the same line.\n\n// System.out.print(""this line will not be executed, because it is commented out"");","PublicClassSpecifier:1,StringDataType:2,StringLiteral:2,PublicMethodSpecifier:1,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,ActualMethodParameter:2,java.lang.System.out.print:2,"
1,The program and the source code,More about printing,1,code_sample,"System.out.println(""First\nSecond\nThird"");","PublicClassSpecifier:1,PublicMethodSpecifier:1,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,"
1,Main program body,-,1,code_sample,"public class Example {\n    public static void main(String[] args) {\n        // program code\n    }\n}","PublicClassSpecifier:1,StaticMethodSpecifier:1,PublicMethodSpecifier:1,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,FormalMethodParameter:1,"
1,Main program body,-,1,code_sample,"public class Example {\n    public static void main(String[] args) {\n        System.out.print(""Text to be printed"");\n    }\n}","PublicClassSpecifier:1,StaticMethodSpecifier:1,StringDataType:1,StringLiteral:1,PublicMethodSpecifier:1,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,ActualMethodParameter:1,java.lang.System.out.print:1,FormalMethodParameter:1,"
1,Getting to know your development environment,-,1,problem_1,"Name",
1,Getting to know your development environment,-,1,problem_2,"Hello world! (And all the people of the world)",
1,Getting to know your development environment,-,1,problem_3,"Spruce",
1,Variables and assignment,Variables and data types,2,code_sample,"int months = 12;","SimpleAssignmentExpression:1,PublicClassSpecifier:1,PublicMethodSpecifier:1,MethodDefinition:1,IntDataType:1,VoidDataType:1,ClassDefinition:1,"
1,Variables and assignment,Variables and data types,2,code_sample,"String text = ""includes text"";\nint wholeNumber = 123;\ndouble decimalNumber = 3.141592653;\nboolean isTrue = true;\n\nSystem.out.println(""The variable's type is text. Its value is "" + text);\nSystem.out.println(""The variable's type is integer. Its value is  "" + wholeNumber);\nSystem.out.println(""The variable's type is decimal number. Its value is "" + decimalNumber);\nSystem.out.println(""The variable's type is truth value. Its value is "" + isTrue);","SimpleAssignmentExpression:4,PublicClassSpecifier:1,PublicMethodSpecifier:1,java.lang.System.out.println:4,StringAddition:4,True:1,StringVariable:1,ClassDefinition:1,StringDataType:5,StringLiteral:5,MethodDefinition:1,IntDataType:1,VoidDataType:1,StringInitializationStatement:1,DoubleDataType:1,BooleanDataType:1,ActualMethodParameter:4,"
