Week,AssignmentId,AssignmentName,ContentType,ContentFilename,"Content
",concepts
1,000,000.Sandbox,baseline,Ohjelma.java,"// This is not an exercise but a ""sandbox"" where you can freely test\n// whatever you want\npublic class Ohjelma {\n    public static void main(String[] args) {\n        // Write the code here. You can run the code by \n        // selecting Run->Run File from the menu or by pressing Shift+F6\n    }\n}
",
1,000,000.Sandbox,solution,Ohjelma.java,"// This is not an exercise but a ""sandbox"" where you can freely test\n// whatever you want\npublic class Ohjelma {\n    public static void main(String[] args) {\n        // Write the code here. You can run the code by \n        // selecting Run->Run File from the menu or by pressing Shift+F6\n    }\n}
","PublicClassSpecifier:1,StaticMethodSpecifier:1,PublicMethodSpecifier:1,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,FormalMethodParameter:1,"
1,001,001.Name,baseline,Name.java,"public class Name {\n    public static void main(String[] args) {\n        // Write your program here\n    }\n}
",
1,001,001.Name,solution,Name.java,"public class Name {\n    public static void main(String[] args) {\n        // Write your program here\n        System.out.println(""Eric Example"");\n    }\n}
","PublicClassSpecifier:1,StaticMethodSpecifier:1,StringDataType:1,StringLiteral:1,PublicMethodSpecifier:1,java.lang.System.out.println:1,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,ActualMethodParameter:1,FormalMethodParameter:1,"
1,002,002.HelloWorld,baseline,Greeter.java,"public class Greeter {\n    public static void main(String[] args) {\n        // Write your code here\n    }\n}
",
1,002,002.HelloWorld,solution,Greeter.java,"public class Greeter {\n    public static void main(String[] args) {\n        // Write your code here\n        System.out.println(""Hello world!"");\n        System.out.println(""(And all the people of the world)"");\n    }\n}
","PublicClassSpecifier:1,StaticMethodSpecifier:1,StringDataType:2,StringLiteral:2,PublicMethodSpecifier:1,java.lang.System.out.println:2,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,ActualMethodParameter:2,FormalMethodParameter:1,"
1,003,003.Spruce,baseline,Spruce.java,"public class Spruce {\n    public static void main(String[] args) {\n        // Write code here\n        System.out.println(""*"");\n    }\n}
",
1,003,003.Spruce,solution,Spruce.java,"public class Spruce {\n    public static void main(String[] args) {\n        // Write code here\n        System.out.println(""    *"");\n        System.out.println(""   ***"");\n        System.out.println(""  *****"");\n        System.out.println("" *******"");\n        System.out.println(""*********"");\n        System.out.println(""    *"");\n    }\n}
","PublicClassSpecifier:1,StaticMethodSpecifier:1,StringDataType:6,StringLiteral:6,PublicMethodSpecifier:1,java.lang.System.out.println:6,MethodDefinition:1,VoidDataType:1,ClassDefinition:1,ActualMethodParameter:6,FormalMethodParameter:1,"
1,004,004.ChangingVariables,baseline,Variables.java,"public class Variables {\n    public static void main(String[] args) {\n        // CHANGE THESE:\n        int chickenCount = 3;\n        double baconWeight = 5.5;\n        String tractor = ""There is none"";\n        // DO NOT TOUCH THE BELOW:\n        System.out.println(""Chickens:"");\n        System.out.println(chickenCount);\n        System.out.println(""Bacon (kg):"");\n        System.out.println(baconWeight);\n        System.out.println(""A tractor:"");\n        System.out.println(tractor);\n        System.out.println("""");\n        System.out.println(""In a nutshell:"");\n        System.out.println(chickenCount);\n        System.out.println(baconWeight);\n        System.out.println(tractor);\n    }\n}
",
1,004,004.ChangingVariables,solution,Variables.java,"public class Variables {\n    public static void main(String[] args) {\n        // CHANGE THESE:\n        int chickenCount = 9000;\n        double baconWeight = 0.1;\n        String tractor = ""Zetor"";\n        // DO NOT TOUCH THE BELOW:\n        System.out.println(""Chickens:"");\n        System.out.println(chickenCount);\n        System.out.println(""Bacon (kg):"");\n        System.out.println(baconWeight);\n        System.out.println(""A tractor:"");\n        System.out.println(tractor);\n        System.out.println("""");\n        System.out.println(""In a nutshell:"");\n        System.out.println(chickenCount);\n        System.out.println(baconWeight);\n        System.out.println(tractor);\n    }\n}
","SimpleAssignmentExpression:3,PublicClassSpecifier:1,PublicMethodSpecifier:1,java.lang.System.out.println:11,StringVariable:1,ClassDefinition:1,FormalMethodParameter:1,StaticMethodSpecifier:1,StringDataType:6,StringLiteral:6,MethodDefinition:1,IntDataType:1,VoidDataType:1,StringInitializationStatement:1,DoubleDataType:1,ActualMethodParameter:11,"
1,005,005.SecondsOfTheYear,baseline,SecondsOfTheYear.java,"public class SecondsOfTheYear {\n    public static void main(String[] args) {   \n        // In below an incomplete version of the program. Please complete it!\n        int daysInYear = 365;\n        int hoursInDay = 0;\n        int minutesInHour = 0;\n        int secondsInMinute = 0;\n        int secondsInYear = daysInYear * hoursInDay;\n        System.out.println(""There are ""+secondsInYear+"" seconds in a year"");\n    }\n}
",
1,005,005.SecondsOfTheYear,solution,SecondsOfTheYear.java,"public class SecondsOfTheYear {\n    public static void main(String[] args) {   \n        // In below an incomplete version of the program. Please complete it!\n        int daysInYear = 365;\n        int hoursInDay = 24;\n        int minutesInHour = 60;\n        int secondsInMinute = 60;\n        int secondsInYear = daysInYear * hoursInDay * minutesInHour * secondsInMinute;\n        System.out.println(""There are ""+secondsInYear+"" seconds in a year"");\n    }\n}
","SimpleAssignmentExpression:5,PublicClassSpecifier:1,PublicMethodSpecifier:1,java.lang.System.out.println:1,MultiplyExpression:1,StringAddition:1,ClassDefinition:1,FormalMethodParameter:1,StaticMethodSpecifier:1,StringDataType:1,StringLiteral:1,MethodDefinition:1,IntDataType:5,VoidDataType:1,ActualMethodParameter:1,"
1,006,006.Addition,baseline,Addition.java,"public class Addition {\n    public static void main(String[] args) {\n        int a = 1337;\n        int b = 42; \n        int result = 0; // Fix this\n        String toPrint = a + "" + "" + b + "" = "" + result;\n        System.out.println(toPrint);\n    }\n}
",
1,006,006.Addition,solution,Addition.java,"public class Addition {\n    public static void main(String[] args) {\n        int a = 1337;\n        int b = 42; \n        int result = a+b;\n        String toPrint = a + "" + "" + b + "" = "" + result;\n        System.out.println(toPrint);\n    }\n}
","SimpleAssignmentExpression:4,PublicClassSpecifier:1,PublicMethodSpecifier:1,java.lang.System.out.println:1,StringAddition:1,StringVariable:1,ClassDefinition:1,FormalMethodParameter:1,StaticMethodSpecifier:1,StringDataType:1,StringLiteral:1,AddExpression:1,MethodDefinition:1,IntDataType:3,VoidDataType:1,ActualMethodParameter:1,"
1,007,007.Multiplication,baseline,Multiplication.java,"public class Multiplication {\n    public static void main(String[] args) {\n        int a = 1337;\n        int b = 42;\n        // Program your solution here. Remember to use variables a and b!\n    }\n}
",
1,007,007.Multiplication,solution,Multiplication.java,"public class Multiplication {\n    public static void main(String[] args) {\n        int a = 1337;\n        int b = 42;\n        // Program your solution here. Remember to use variables a and b!\n        int result = a*b;\n        String toPrint = a + "" * "" + b + "" = "" + result;\n        System.out.println(toPrint);\n    }\n}
","SimpleAssignmentExpression:4,PublicClassSpecifier:1,PublicMethodSpecifier:1,java.lang.System.out.println:1,MultiplyExpression:1,StringAddition:1,StringVariable:1,ClassDefinition:1,FormalMethodParameter:1,StaticMethodSpecifier:1,StringDataType:1,StringLiteral:1,MethodDefinition:1,IntDataType:3,VoidDataType:1,ActualMethodParameter:1,"
1,008,008.Adder,baseline,Adder.java,"import java.util.Scanner;\npublic class Adder {\n    public static void main(String[] args) {\n        Scanner reader = new Scanner(System.in);\n        // Implement your program here. Remember to ask the input from user\n    }\n}
",
1,008,008.Adder,solution,Adder.java,"import java.util.Scanner;\npublic class Adder {\n    public static void main(String[] args) {\n        Scanner reader = new Scanner(System.in);\n        // Implement your program here. Remember to ask the input from user\n        System.out.print(""Type a number: "");\n        int firstNumber = Integer.parseInt(reader.nextLine());\n        System.out.print(""Type another number: "");\n        int secondNumber = Integer.parseInt(reader.nextLine());\n        System.out.println(""""); // an empty line\n        System.out.println(""Sum of the numbers: "" + (firstNumber + secondNumber));\n    }\n}
","SimpleAssignmentExpression:3,PublicClassSpecifier:1,PublicMethodSpecifier:1,java.lang.System.out.println:2,StringAddition:1,ImportStatement:1,ClassDefinition:1,java.lang.Integer.parseInt:2,java.lang.System.out.print:2,FormalMethodParameter:1,StaticMethodSpecifier:1,StringDataType:4,StringLiteral:4,AddExpression:1,MethodDefinition:1,IntDataType:2,VoidDataType:1,ConstructorCall:1,ObjectMethodInvocation:2,ActualMethodParameter:7,ObjectCreationStatement:1,"
1,009,009.Divider,baseline,Divider.java,"import java.util.Scanner;\npublic class Divider {\n    public static void main(String[] args) {\n        Scanner reader = new Scanner(System.in);\n        // Implement your program here. Remember to ask the input from user.\n    }\n}
",
1,009,009.Divider,solution,Divider.java,"import java.util.Scanner;\npublic class Divider {\n    public static void main(String[] args) {\n        Scanner reader = new Scanner(System.in);\n        // Implement your program here. Remember to ask the input from user.\n        System.out.print(""Type a number: "");\n        int firstNumber = Integer.parseInt(reader.nextLine());\n        System.out.print(""Type another number: "");\n        int secondNumber = Integer.parseInt(reader.nextLine());\n        System.out.println(""""); // an empty line\n        System.out.println(""Division: "" + firstNumber + "" / "" + secondNumber +\n                           "" = "" + (1.0 * firstNumber / secondNumber));\n    }\n}
","SimpleAssignmentExpression:3,PublicClassSpecifier:1,PublicMethodSpecifier:1,java.lang.System.out.println:3,MultiplyExpression:1,StringAddition:1,ImportStatement:1,ClassDefinition:1,java.lang.Integer.parseInt:2,java.lang.System.out.print:2,FormalMethodParameter:1,StaticMethodSpecifier:1,StringDataType:5,DivideExpression:1,StringLiteral:5,MethodDefinition:1,IntDataType:2,VoidDataType:1,ConstructorCall:1,ObjectMethodInvocation:2,ActualMethodParameter:8,ObjectCreationStatement:1,"
1,010,010.CircleCircumference,baseline,Circumference.java,"import java.util.Scanner;\npublic class Circumference {\n    public static void main(String[] args) {\n        Scanner reader = new Scanner(System.in);\n        // Program your solution here \n    }\n}
",
