Week,content_id,content_name,Topic,display_name,Concepts
345,1,VariableDemo,1,Variable Demo,"PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.5073574225169946,ActualMethodParameter:0.3361040131921593,java.lang.System.out.println:0.46560062245835854,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.14160312593692462,StringLiteral:0.3814588424215749,AddExpression:1.681567028199806,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,java.lang.System.out.print:2.3380831348218836,StringDataType:0.37199435222906685"
345,2,variables2_v2,1,Variable Initialization,"PublicMethodSpecifier:0.028488537811437533,IntDataType:0.6288564478423063,StringVariable:0.6470522050705252,MultiplyExpression:0.9542425094393249,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.12949407201071567,StringDataType:0.1558878729673943,AddExpression:0.9931605754696945,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,StringInitializationStatement:1.1972805581256194,StringLiteral:0.1598540601849957,PublicClassSpecifier:0.05897785995933788"
345,3,PrintTester,1,Print Tester,"java.lang.System.out.print:0.979796613911713,PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,java.lang.System.out.println:0.5091391640910456,StringLiteral:0.3814588424215749,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ActualMethodParameter:0.30470510603130574,StringDataType:0.37199435222906685,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,AddExpression:1.681567028199806"
345,4,variables1_v2,1,Variable Declaration,"PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.5073574225169946,StringDataType:0.1558878729673943,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleVariable:1.1317168891575557,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,StringVariable:0.6470522050705252"
345,5,HelloWorld2_v2,1,HelloWorld,"MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,StringDataType:0.1558878729673943,java.lang.System.out.println:0.19511449636911166,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,StringInitializationStatement:1.1972805581256194,SimpleAssignmentExpression:0.05426575787152426,ActualMethodParameter:0.10914446942506807,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,StringVariable:0.6470522050705252,StringLiteral:0.1598540601849957"
345,6,JavaTutorial_4_1_5,1,Multiple Variables 2,"PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.5073574225169946,ActualMethodParameter:0.2604508319364623,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.12949407201071567,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,java.lang.System.out.println:0.46560062245835854"
345,7,HelloPrinter,1,Hello Printer,"VoidDataType:0.025554104472388137,StringLiteral:0.1598540601849957,PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,java.lang.System.out.println:0.19511449636911166,StringDataType:0.1558878729673943,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ActualMethodParameter:0.10914446942506807,ClassDefinition:0.0,MethodDefinition:0.022639365465170848"
345,8,PrimitiveDataTypes_v2,1,Primitive Data Types,"PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,ByteDataType:1.8962505624616381,IntDataType:0.2996534668351779,DoubleDataType:0.7993405494535817,CharDataType:1.7201593034059568,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,SimpleAssignmentExpression:0.16710822908031134,LongDataType:1.8962505624616381,BooleanDataType:0.9931605754696945,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,ShortDataType:2.197280558125619,FloatDataType:1.7993405494535817,True:1.3843672014827637"
345,9,Constants_v2,1,Constants,"PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,Constant:2.402794786253313,SimpleAssignmentExpression:0.09187991494111997,ActualMethodParameter:0.18479765068076517,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ConstantInitializationStatement:3.7203193818895754,DoubleDataType:0.7993405494535817,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,IntDataType:0.2996534668351779,java.lang.System.out.println:0.3303575594137351"
345,10,constant_v2,1,Constant2,"PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,java.lang.System.out.println:0.3303575594137351,ConstantInvocation:1.7049126232014145,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ActualMethodParameter:0.18479765068076517,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,Constant:2.402794786253313"
