Week,Topic,Subtopic,,ContentType,Content,concepts
1,Variables,,1,code_sample,"public class HelloWorld {@@public static void main(String[] args) {@@   int x = 2;@@   double d = 10.0;@@   String name = ""Luke Skywalker"";@@   System.out.print(""The total is "");@@   System.out.println(""Hello World"");@@  }@@ }@@",SimpleAssignmentExpression:3;PublicClassSpecifier:1;PublicMethodSpecifier:1;java.lang.System.out.println:1;StringVariable:1;ClassDefinition:1;java.lang.System.out.print:1;FormalMethodParameter:1;StaticMethodSpecifier:1;StringDataType:3;StringLiteral:3;MethodDefinition:1;IntDataType:1;VoidDataType:1;StringInitializationStatement:1;DoubleDataType:1;ActualMethodParameter:2;
1,Variables,,1,code_sample,package edu.pitt.is17.lec02;@@@@public class Variables1 {@@@@ public static void main(String[] args) {@@  int number;@@  number = 10;@@  int anotherNumber = 10;@@  double thirdNumber = 0.5;@@  @@  int thisIsAnotherVariableOfMine;@@  @@ }@@@@}@@,SimpleAssignmentExpression:3;PublicClassSpecifier:1;StaticMethodSpecifier:1;PublicMethodSpecifier:1;MethodDefinition:1;IntDataType:3;VoidDataType:1;DoubleDataType:1;ClassDefinition:1;SimpleVariable:2;FormalMethodParameter:1;
1,Variables,,1,code_sample,package edu.pitt.is17.lec02;@@@@public class Variables01 {@@@@ public static void main(String[] args) {@@  int myNumber; @@  myNumber = 3; @@  int n = 1; @@  double realNumber = 0.5; @@  realNumber = n;  @@  System.out.println(realNumber);@@ }@@@@}@@,SimpleAssignmentExpression:4;PublicClassSpecifier:1;PublicMethodSpecifier:1;java.lang.System.out.println:1;ClassDefinition:1;FormalMethodParameter:1;StaticMethodSpecifier:1;MethodDefinition:1;IntDataType:2;VoidDataType:1;DoubleDataType:1;SimpleVariable:1;ActualMethodParameter:1;
1,Variables,,1,code_sample,package edu.pitt.is17.lec02;@@@@public class Variables2 {@@@@ public static void main(String[] args) {@@  int n = 1;@@  double d = n*1.5;@@  @@  System.out.println(b);@@ }@@@@}@@,SimpleAssignmentExpression:2;PublicClassSpecifier:1;PublicMethodSpecifier:1;java.lang.System.out.println:1;MultiplyExpression:1;ClassDefinition:1;FormalMethodParameter:1;StaticMethodSpecifier:1;MethodDefinition:1;IntDataType:1;VoidDataType:1;DoubleDataType:1;ActualMethodParameter:1;
1,Variables,,1,code_sample,package edu.pitt.is17.lec02;@@@@public class Variables3 {@@@@ public static void main(String[] args) {@@  double a = (4.0 + 3.0) * (1.0 / 2.0);@@  @@  System.out.println(a);@@  int b = 10 % 4;@@@@  System.out.println(b);@@  b++; @@  System.out.println(b);@@  @@  int d = b--;@@  @@  @@@@ }@@@@}@@,SimpleAssignmentExpression:3;PublicClassSpecifier:1;PostIncrementExpression:1;PublicMethodSpecifier:1;java.lang.System.out.println:3;ModulusExpression:1;MultiplyExpression:1;ClassDefinition:1;FormalMethodParameter:1;StaticMethodSpecifier:1;DivideExpression:1;AddExpression:1;MethodDefinition:1;IntDataType:2;VoidDataType:1;DoubleDataType:1;PostDecrementExpression:1;ActualMethodParameter:3;
2,2-primitive-data-types,,1,code_sample,"package edu.pitt.is17.lec02;@@@@public class Consversions1 {@@ /**@@  * This program shows hot to convert from number to @@  * string and from string to number@@  * @@  */@@ public static void main(String[] args) {@@  @@  double a = 3.5;@@  String aAsString = a+""""; @@  String numberStr = ""3.5"";@@  String numberStr2 = ""3"";@@ int n = Integer.parseInt(numberStr2);@@@@  System.out.println(number/2);@@ }@@@@}@@",SimpleAssignmentExpression:5;PublicClassSpecifier:1;PublicMethodSpecifier:1;java.lang.System.out.println:1;StringAddition:1;StringVariable:3;ClassDefinition:1;java.lang.Integer.parseInt:1;FormalMethodParameter:1;StaticMethodSpecifier:1;StringDataType:3;DivideExpression:1;StringLiteral:3;MethodDefinition:1;IntDataType:1;VoidDataType:1;StringInitializationStatement:2;DoubleDataType:1;ActualMethodParameter:2;
2,2-primitive-data-types,,1,code_sample,package edu.pitt.is17.lec02;@@@@public class NameConventions {@@@@ public static void main(String[] args) {@@   int thisIsMyFirstVariable;@@@@ }@@@@}@@,PublicClassSpecifier:1;StaticMethodSpecifier:1;PublicMethodSpecifier:1;MethodDefinition:1;IntDataType:1;VoidDataType:1;ClassDefinition:1;SimpleVariable:1;FormalMethodParameter:1;
2,2-primitive-data-types,,1,code_sample,"package edu.pitt.is17.lec02;@@@@public class NumberStringConversion {@@@@ public static void main(String[] args) {@@  String numberStr = ""10"";@@  @@  int n = Integer.parseInt(numberStr);@@  @@  double d = Double.parseDouble(""0.5325"");@@@@ }@@@@}@@",SimpleAssignmentExpression:3;PublicClassSpecifier:1;PublicMethodSpecifier:1;StringVariable:1;ClassDefinition:1;java.lang.Integer.parseInt:1;FormalMethodParameter:1;StaticMethodSpecifier:1;StringDataType:2;StringLiteral:2;MethodDefinition:1;IntDataType:1;VoidDataType:1;StringInitializationStatement:1;DoubleDataType:1;ActualMethodParameter:2;java.lang.Double.parseDouble:1;
2,2-primitive-data-types,,1,code_sample,public class PrimitiveDataTypes@@{@@ public static void main(String[] args)@@ {@@  byte byteNumber = 7;@@  short shortNumber = 1234;@@  int integerNumber = 1;@@  long longNumber = 123456789L;@@  float floatNumber = 1.2F;@@  double doubleNumber = 1.496;@@  boolean b = true;@@  boolean c = false;@@  char myChar = 'X';@@ }@@},SimpleAssignmentExpression:9;PublicClassSpecifier:1;FloatDataType:1;ShortDataType:1;PublicMethodSpecifier:1;ByteDataType:1;True:1;False:1;CharDataType:1;ClassDefinition:1;FormalMethodParameter:1;StaticMethodSpecifier:1;MethodDefinition:1;IntDataType:1;VoidDataType:1;DoubleDataType:1;LongDataType:1;BooleanDataType:2;
3,3-constants,,1,code_sample,package edu.pitt.is17.lec02;@@@@public class Constants1 {@@ static final double PI = 3.141593;@@ static final double MY_CONSTANT = 0.05;@@ @@ public static void main(String[] args) {@@        int dollars = 10;@@        int quarters = 3;@@        int dimes = 4;@@        @@        final double QUARTER_VALUE = 0.25;@@        final double DIME_VALUE = 0.1;@@        @@        double payment = dollars + quarters * QUARTER_VALUE + dimes * DIME_VALUE;@@ }@@}@@,SimpleAssignmentExpression:8;PublicClassSpecifier:1;PublicMethodSpecifier:1;ClassConstantInitializationStatement:2;Constant:2;MultiplyExpression:1;ClassDefinition:1;FinalFieldSpecifier:2;FormalMethodParameter:1;StaticMethodSpecifier:1;ConstantInitializationStatement:2;AddExpression:1;MethodDefinition:1;IntDataType:3;VoidDataType:1;DoubleDataType:5;StaticFieldSpecifier:2;ClassField:2;
