course_id,AssignmentId,content_name,Topic,Code,Concepts
345,1,jVariables5,1,String Variables,"StringInitializationStatement:1.2481175742155695,SimpleAssignmentExpression:0.02831738727448223,ActualMethodParameter:0.4030195342013126,FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,StringVariable:0.9872048017595707,StringLiteral:0.8351138191076559,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,StringDataType:0.8351138191076559,java.lang.System.out.print:0.8553172051959429,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028"
345,2,jVariable4_rev,1,int Variables 4,"StaticMethodSpecifier:0.047202731434856086,SimpleAssignmentExpression:0.047945504424613664,ActualMethodParameter:0.4030195342013126,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,MultiplyExpression:0.770996319495907,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,IntDataType:0.14837283835118278,java.lang.System.out.print:0.8553172051959429,FormalMethodParameter:0.042403848553087355"
345,3,jVariables3,1,int Variables 3,"ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,java.lang.System.out.print:0.8553172051959429,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,IntDataType:0.08763138849046424,FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,SimpleAssignmentExpression:0.02831738727448223"
345,4,jprintlnTest,1,println Test,"FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,SimpleAssignmentExpression:0.02831738727448223,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,java.lang.System.out.println:0.8351138191076559,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,IntDataType:0.08763138849046424,ActualMethodParameter:0.4030195342013126"
345,5,jVariables2,1,int Variables 2,"FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,SimpleAssignmentExpression:0.047945504424613664,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,MultiplyExpression:0.770996319495907,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,IntDataType:0.14837283835118278,AddExpression:0.38866138415444546"
345,6,jVariable1_rev,1,int Variable 1,"PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,IntDataType:0.08763138849046424,FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,SimpleAssignmentExpression:0.047945504424613664,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,AddExpression:0.38866138415444546"
345,7,jSimpleVariableTest,1,Simple Variable Test,"ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,SimpleAssignmentExpression:0.047945504424613664,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,IntDataType:0.14837283835118278,MultiplyExpression:0.770996319495907,FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,SimpleVariable:0.6524916928930169"
345,8,jusingFloat,2,Using float,"FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,SimpleAssignmentExpression:0.02831738727448223,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,AddExpression:0.38866138415444546,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,FloatDataType:2.1775364999298623"
345,9,jPrimitive_Float,2,Using float,"FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,SimpleAssignmentExpression:0.02831738727448223,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,ExplicitTypeCasting:1.2481175742155695,LessExpression:0.38165648258578694,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,FloatDataType:2.1775364999298623"
345,10,jUsingDouble,2,Using Double,"PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,IntDataType:0.08763138849046424,AddExpression:0.38866138415444546,FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,SimpleAssignmentExpression:0.047945504424613664,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028,DoubleDataType:0.6723865216099562"
345,11,jConstants2,3,Constants 2,"DoubleDataType:1.1384493433104061,MultiplyExpression:0.770996319495907,PublicClassSpecifier:0.001445240874180953,PublicMethodSpecifier:0.010219165181686028,Constant:1.2744465129379186,SimpleAssignmentExpression:0.05942721691720237,FormalMethodParameter:0.042403848553087355,StaticMethodSpecifier:0.047202731434856086,ConstantInitializationStatement:1.3024752365381622,IntDataType:0.08763138849046424,ClassDefinition:0.0,MethodDefinition:0.010219165181686028,VoidDataType:0.010219165181686028"
