content_name,Concepts
AccessorMutatorDemo_version_1_delete,"ConstructorCall:0.43761271343598884,StringLiteral:0.3814588424215749,DoubleDataType:0.7993405494535817,PublicClassSpecifier:0.05897785995933788,PublicMethodSpecifier:0.028488537811437533,SimpleAssignmentExpression:0.09187991494111997,ActualMethodParameter:0.3604588977059742,StringDataType:0.37199435222906685,ObjectMethodInvocation:0.5310033338297274,ImportStatement:0.6349876936691446,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ObjectCreationStatement:0.43761271343598884,java.lang.System.out.print:2.3380831348218836,java.lang.System.out.println:0.46560062245835854,ClassDefinition:0.0,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137"
addition_applet,"MethodDefinition:0.03833177780702022,StringVariable:0.6470522050705252,ObjectMethodInvocation:0.8755491562880835,java.lang.Double.parseDouble:3.7203193818895754,StringAddition:0.49398918000695796,ImportStatement:1.0751276232261746,PublicClassSpecifier:0.05897785995933788,DoubleDataType:1.6775058999140056,PublicMethodSpecifier:0.04823528747371086,StringDataType:0.37199435222906685,ActualMethodParameter:0.3361040131921593,AddExpression:0.9931605754696945,OnDemandImport:0.9931605754696945,ExtendsSpecification:0.6232492903979004,SimpleVariable:1.4071893949424685,VoidDataType:0.04326685993915826,SimpleAssignmentExpression:0.14160312593692462,StringLiteral:0.3354716950977236,FormalMethodParameter:0.07670662691976943,ClassDefinition:0.0,InstanceField:0.4983105537896005"
arithmetic,"SimpleAssignmentExpression:0.1514969433926647,ActualMethodParameter:0.28480571645027714,DivideExpression:1.7201593034059568,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,AddExpression:1.681567028199806,SubtractExpression:1.1760912590556813,ModulusExpression:1.4569178686313755,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,IntDataType:0.2996534668351779,java.lang.System.out.println:0.5091391640910456,MultiplyExpression:0.9542425094393249,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448"
arraylist1,"PublicClassSpecifier:0.05897785995933788,VoidDataType:0.025554104472388137,GenericObjectCreationStatement:1.681567028199806,MethodDefinition:0.022639365465170848,java.util.ArrayList:2.0025850566788623,ObjectCreationStatement:0.43761271343598884,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,SimpleAssignmentExpression:0.11388278632306903,ConstructorCall:0.43761271343598884"
arraylist2,"ObjectMethodInvocation:1.0656449354057353,StringDataType:0.5432546851253794,java.util.ArrayList:1.6156730144276399,FormalMethodParameter:0.07670662691976943,StaticMethodSpecifier:0.11809931207799448,ObjectCreationStatement:0.43761271343598884,ActualMethodParameter:0.3890945061473768,java.lang.System.out.println:0.46560062245835854,ImportStatement:0.6349876936691446,MethodDefinition:0.022639365465170848,VoidDataType:0.025554104472388137,ConstructorCall:0.43761271343598884,StringLiteral:0.5570764773343028,StringAddition:1.1788035947048425,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,SimpleAssignmentExpression:0.05426575787152426"
array_declaration,"PublicClassSpecifier:0.05897785995933788,VoidDataType:0.025554104472388137,ArrayDataType:1.1558878729673943,MethodDefinition:0.022639365465170848,ArrayCreationStatement:1.3222192947339193,SimpleAssignmentExpression:0.05426575787152426,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,ArrayVariable:0.979796613911713,DoubleDataType:0.7993405494535817"
Bicycle,"FormalMethodParameter:0.20016118041938452,SimpleAssignmentExpression:0.15986204685990157,VoidDataType:0.060979615405928396,PublicClassSpecifier:0.05897785995933788,IntDataType:0.9227653338806278,ConstructorDefinition:0.640978057358332,MethodDefinition:0.05402419014886959,SubtractExpression:1.1760912590556813,PrivateFieldSpecifier:1.6417595247445318,SimpleVariable:1.1317168891575557,PublicConstructorSpecifier:0.7579478642953567,PublicMethodSpecifier:0.06798203713598418,AddExpression:0.9931605754696945,ClassDefinition:0.0,InstanceField:1.0457606517558669"
boolean_declaration,"ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,SimpleAssignmentExpression:0.09187991494111997,PublicClassSpecifier:0.05897785995933788,VoidDataType:0.025554104472388137,True:1.3843672014827637,MethodDefinition:0.022639365465170848,BooleanDataType:1.681567028199806,False:1.0359125558906443"
boolean_expression,"ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,SimpleVariable:0.5392691614685069,GreaterExpression:1.2430380486862944,PublicClassSpecifier:0.05897785995933788,VoidDataType:0.025554104472388137,SimpleAssignmentExpression:0.09187991494111997,MethodDefinition:0.022639365465170848,BooleanDataType:0.9931605754696945,LessExpression:0.7907403776916642"
boolean_operators,"VoidDataType:0.025554104472388137,True:1.3843672014827637,ActualMethodParameter:0.22905192477560865,StringAddition:1.036691763631685,NotExpression:1.8962505624616381,MethodDefinition:0.022639365465170848,BooleanDataType:1.681567028199806,False:1.0359125558906443,StringLiteral:0.3354716950977236,OrExpression:1.2678616324113265,ClassDefinition:0.0,PublicMethodSpecifier:0.028488537811437533,SimpleAssignmentExpression:0.09187991494111997,java.lang.System.out.println:0.40946967977750703,StringDataType:0.3271482058637069,AndExpression:1.2195569528367716,PublicClassSpecifier:0.05897785995933788"
