"Writing and executing a simple program
Printing on the screen
Reading user input
Using Variables
Simple Arithmetic Calculations","# This program is for temperature transform from Fahrenheit to Celsius.
def temperature():
    fahrenheit=input(""Give temperature in Fahrenheit: "")
    celsius=(float(fahrenheit)-32)/1.8
    print(""The temperature you input in Celsius is: "",celsius)
# Below is the program for the transforming from Celsius to Fahrenheit.
# celsius = input(""Give temperature in Celsius:"")
# fahrenheit = 1.8 * float(celsius) + 32
# print(fahrenheit)
",hw1.1,1
"Writing and executing a simple program
Printing on the screen
Reading user input
Using Variables
Simple Arithmetic Calculations","# Program of marathon and cooper test.
# The official distance of the marathon is 42195 meters.
def marathon():
    ma_distance=42195
    # define the distance of marathon
    
    ma_hr=input(""Please input the hours of your marathon result: "")
    # Ask for entering the hours
    # print(ma_hr)
    ma_min=input(""Please input the minutes of your marathon result: "" )
    # Ask for enterting the minutes
    # int(ma_hr) testing
    # int(ma_min) testing
    # print(ma_min) testing
    total_min=int(ma_min)+int(ma_hr)*60
    # calculate the total minutes
    int(total_min)
    # give the variables integer type for coming calculation
    # print(total_min)
    # print(type(total_min))
    
    ct_times=total_min/12
    # calculate the correspondence times of Cooper Test
    ct_distance=ma_distance/ct_times
    # calculate the correspondence distance of Cooper Test
    print(""Your performance of marathon corresponds to running Cooper Test "", ct_times, ""times in a row covering "",ct_distance, ""meters in each."")
    
",hw1.2,1
"If statement
Loops","def course_grade():
    p=int(input(""How many projects the course has? ""))
    s=0
    for i in range(1,p+1):
        score=int(input(""Please enter the project score: ""))
        i=i+1
        s=s+score
    print(""Total points: "",s)
    if s<1500:
        print(""Grade awarded: F"")
    elif s>=1500 and s<3000:
        print(""Grade awarded: C"")
    elif s>=3000 and s<5000:
        print(""Grade awarded: B"")
    else:
        print(""Grade awarded: A"")
course_grade()
",hw2.1,2
"If statement
While loop 
Sequence processing pattern
Summing pattern
Print formatting","def business_income():
    print(""Enter the volume of subscription sold on diffrent days."")
    print(""Enter negative value to stop."")
    # Instruction in the beginning.
    first_sales=int(input(""Enter the first day sale: ""))
    # Ask for the value of first days sales which is the judging variable in the first place,
    # if this is negative, the program halt directly.
    salary=0
    # Temp variable for base salary data.
    s=0
    # Final variable of the total of base salary for all days.
    b=0
    # Final variable of total bonus.
    if first_sales>=0:
        salary=40
        next_sales=0
        # If the first day sales is not negative, then the base salary for the 1st day granted.
        while next_sales>=0:
            next_sales=int(input(""Enter the next day sale: ""))
            if next_sales>20:
                bonus=10*(next_sales-20)+5*10
            elif next_sales >10 and next_sales<=20:
                bonus=5*(next_sales-10)
            else:
                bonus=0
            s=s+salary
            b=b+bonus
        
        print(""Your salary is: "",s+b)
    else:
        print(""Your salary is: "",s+b)
business_income()
",hw2.2,2
"If statement
Loops
Remainder","def s_counting():    
